sensitivity_analysis,violation_ip,solve_time,profit_ip,violation_lp,solve_time_lp,profit_lp,violation_chp,solve_time_chp,profit_chp,violation_rowgen,solve_time_rowgen,profit_rowgen
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 1}",2.133230832,0.148859978,"{'u1': np.float64(1120.6422986451596), 'u2': np.float64(77.48482511173144), 'u3': np.float64(492.4363372822297), 'u4': np.float64(167.80692939258563), 'u5': np.float64(118.07072090547001), 'u6': np.float64(134.72189892093957)}",0,0.069796085,"{'u1': np.float64(1148.4992931838185), 'u2': np.float64(79.65737997060674), 'u3': np.float64(483.13702735101776), 'u4': np.float64(150.50395247295694), 'u5': np.float64(114.64345835877657), 'u6': np.float64(134.72189892093957)}",7.46E-10,21.59273243,"{'u1': np.float64(1156.3407183276902), 'u2': np.float64(78.65519773964598), 'u3': np.float64(480.4640281039526), 'u4': np.float64(145.33552657614928), 'u5': np.float64(115.64564058973849), 'u6': np.float64(134.72189892093957)}",0,2.887084484,"{'u1': 1408.6024422159055, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 2}",0,0.132708788,"{'u1': np.float64(1205.0121141948707), 'u2': np.float64(81.00431139846793), 'u3': np.float64(446.9410622519963), 'u4': np.float64(69.70794801622026), 'u5': np.float64(81.27020243411266), 'u6': np.float64(134.72189892093957)}",0,0.071765184,"{'u1': np.float64(1203.4066156156782), 'u2': np.float64(86.4473183244315), 'u3': np.float64(446.96103350107614), 'u4': np.float64(69.52983709106456), 'u5': np.float64(77.59083376341755), 'u6': np.float64(134.72189892093957)}",0,18.26034522,"{'u1': np.float64(1203.1196854791863), 'u2': np.float64(85.97985908965629), 'u3': np.float64(447.05453439576684), 'u4': np.float64(69.7232663328657), 'u5': np.float64(78.05829299819368), 'u6': np.float64(134.7218989209391)}",1.83E-10,1.15615344,"{'u1': 1316.096969174397, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 3}",0,0.130143166,"{'u1': np.float64(961.171138537654), 'u2': np.float64(74.50484243254466), 'u3': np.float64(456.980556328282), 'u4': np.float64(89.23953001824475), 'u5': np.float64(116.29748161781237), 'u6': np.float64(134.72189892093957)}",0,0.068059921,"{'u1': np.float64(961.171138537654), 'u2': np.float64(79.09376529732802), 'u3': np.float64(456.980556328282), 'u4': np.float64(89.23953001824475), 'u5': np.float64(111.70855875302902), 'u6': np.float64(134.72189892093957)}",0,11.63451576,"{'u1': np.float64(957.0820940763451), 'u2': np.float64(78.29121133735467), 'u3': np.float64(457.84115833669466), 'u4': np.float64(91.23445902121978), 'u5': np.float64(113.7446261629243), 'u6': np.float64(134.72189892093888)}",7.99E-10,2.039353609,"{'u1': 1130.3548798132667, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 4}",0,0.140971661,"{'u1': np.float64(1250.9283171133143), 'u2': np.float64(81.79090659576636), 'u3': np.float64(463.48539261340534), 'u4': np.float64(105.68903969659482), 'u5': np.float64(79.76401123240066), 'u6': np.float64(134.72189892093957)}",0,0.069594622,"{'u1': np.float64(1251.2264930038427), 'u2': np.float64(87.8410485375235), 'u3': np.float64(463.3889397095054), 'u4': np.float64(105.48731670996631), 'u5': np.float64(73.71386929064352), 'u6': np.float64(134.72189892093957)}",0,22.19844913,"{'u1': np.float64(1253.1314014284853), 'u2': np.float64(86.25175977729745), 'u3': np.float64(462.77723274437517), 'u4': np.float64(104.19411525045462), 'u5': np.float64(75.30315805086934), 'u6': np.float64(134.72189892093957)}",0,1.021003246,"{'u1': 1413.8189981302105, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 5}",0,0.134934425,"{'u1': np.float64(1145.6450044374756), 'u2': np.float64(76.16441313389747), 'u3': np.float64(472.51061370499406), 'u4': np.float64(129.84506103833337), 'u5': np.float64(109.24518574869336), 'u6': np.float64(134.72189892093957)}",0,0.068437338,"{'u1': np.float64(1170.868140411975), 'u2': np.float64(80.86977949362142), 'u3': np.float64(465.3040279546799), 'u4': np.float64(115.64691352724674), 'u5': np.float64(100.72141667587073), 'u6': np.float64(134.72189892093957)}",0,21.7058537,"{'u1': np.float64(1169.0687530883504), 'u2': np.float64(78.74153361921648), 'u3': np.float64(465.89214288686867), 'u4': np.float64(116.85818591868292), 'u5': np.float64(102.84966255027541), 'u6': np.float64(134.7218989209399)}",8.71E-10,2.638379097,"{'u1': 1365.5716089421223, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 6}",0,0.131006002,"{'u1': np.float64(1310.1048428884192), 'u2': np.float64(92.9203598007838), 'u3': np.float64(493.06173150552536), 'u4': np.float64(168.41790761040545), 'u5': np.float64(117.33906253444644), 'u6': np.float64(134.72189892093957)}",0,0.070268631,"{'u1': np.float64(1309.6411854559983), 'u2': np.float64(98.60707506316739), 'u3': np.float64(492.79333434588034), 'u4': np.float64(167.70850747892302), 'u5': np.float64(113.09380199561099), 'u6': np.float64(134.72189892093957)}",0,25.38621926,"{'u1': np.float64(1312.5196034008304), 'u2': np.float64(95.28203308300142), 'u3': np.float64(492.2748421563135), 'u4': np.float64(166.79003644720808), 'u5': np.float64(114.97738925222762), 'u6': np.float64(134.7218989209391)}",0,1.899570942,"{'u1': 1614.0052352183086, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 7}",0,0.152649641,"{'u1': np.float64(1383.5243568184135), 'u2': np.float64(78.87443902451204), 'u3': np.float64(445.734119132112), 'u4': np.float64(67.60305212777382), 'u5': np.float64(81.27498973410292), 'u6': np.float64(134.72189892093957)}",0,0.069151402,"{'u1': np.float64(1378.7283460289777), 'u2': np.float64(85.82947107980257), 'u3': np.float64(446.4195387564431), 'u4': np.float64(68.44276720827327), 'u5': np.float64(77.59083376341755), 'u6': np.float64(134.72189892093957)}",0,19.59203339,"{'u1': np.float64(1382.513102182396), 'u2': np.float64(84.11569423211225), 'u3': np.float64(445.5191772634611), 'u4': np.float64(66.79957772843113), 'u5': np.float64(78.06340543051351), 'u6': np.float64(134.72189892093945)}",8.49E-11,1.776657343,"{'u1': 1489.1722877156433, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 8}",0,0.227108717,"{'u1': np.float64(1321.1383725553603), 'u2': np.float64(76.23695735611612), 'u3': np.float64(483.7346382060821), 'u4': np.float64(152.34044908536214), 'u5': np.float64(118.52042283155055), 'u6': np.float64(134.72189892093957)}",0,0.081884146,"{'u1': np.float64(1290.184304076417), 'u2': np.float64(86.69977727371301), 'u3': np.float64(490.9792340424606), 'u4': np.float64(165.58710181033007), 'u5': np.float64(118.52042283155055), 'u6': np.float64(134.72189892093957)}",0,24.03935885,"{'u1': np.float64(1304.5957138262204), 'u2': np.float64(82.28654278045175), 'u3': np.float64(487.4222696112172), 'u4': np.float64(159.14589098503154), 'u5': np.float64(118.52042283155004), 'u6': np.float64(134.7218989209399)}",-2.18E-10,2.010452271,"{'u1': 1584.1321709132, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 9}",0,0.157369375,"{'u1': np.float64(1352.8164220131152), 'u2': np.float64(85.84362188161629), 'u3': np.float64(491.25911103248404), 'u4': np.float64(166.52568285341533), 'u5': np.float64(118.52042283155055), 'u6': np.float64(134.72189892093957)}",0,0.07964921,"{'u1': np.float64(1351.3633994828247), 'u2': np.float64(87.45478408798283), 'u3': np.float64(491.2790822815639), 'u4': np.float64(166.34757192825975), 'u5': np.float64(118.52042283155055), 'u6': np.float64(134.72189892093957)}",0,28.65936852,"{'u1': np.float64(1351.794858849387), 'u2': np.float64(87.28746783893985), 'u3': np.float64(491.1855813868733), 'u4': np.float64(166.17692970543078), 'u5': np.float64(118.52042283155146), 'u6': np.float64(134.72189892093922)}",-1.21E-11,2.368037462,"{'u1': 1647.126591490911, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 10}",0,0.166383982,"{'u1': np.float64(993.2302088759309), 'u2': np.float64(77.21337335135591), 'u3': np.float64(458.4591554578087), 'u4': np.float64(93.59151265251603), 'u5': np.float64(84.09244394859712), 'u6': np.float64(134.72189892093957)}",0,0.07983017,"{'u1': np.float64(987.7472865312596), 'u2': np.float64(86.11467725389632), 'u3': np.float64(459.9314644313515), 'u4': np.float64(96.19106771406575), 'u5': np.float64(76.60219835563555), 'u6': np.float64(134.72189892093957)}",0,23.73024869,"{'u1': np.float64(991.7533938291302), 'u2': np.float64(82.20505789239907), 'u3': np.float64(458.70805050109186), 'u4': np.float64(93.99463321717144), 'u5': np.float64(79.92555884641695), 'u6': np.float64(134.721898920939)}",0,0.967582941,"{'u1': 1138.7480251649374, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 11}",0,0.145382881,"{'u1': np.float64(917.0694998319052), 'u2': np.float64(85.69561870309929), 'u3': np.float64(446.18237576197123), 'u4': np.float64(67.17779038131812), 'u5': np.float64(79.65197307587562), 'u6': np.float64(134.72189892093957)}",0,0.079274416,"{'u1': np.float64(912.8528830076391), 'u2': np.float64(93.45696968451324), 'u3': np.float64(447.0345108030035), 'u4': np.float64(68.71902496837026), 'u5': np.float64(73.71386929064352), 'u6': np.float64(134.72189892093957)}",0,19.06873751,"{'u1': np.float64(918.8906889028306), 'u2': np.float64(90.26174040049992), 'u3': np.float64(445.57066879684646), 'u4': np.float64(65.87064889761211), 'u5': np.float64(75.18351075638577), 'u6': np.float64(134.72189892093422)}",2.18E-10,1.018204689,"{'u1': 1027.938588632898, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 12}",0,0.137512922,"{'u1': np.float64(939.0195621928), 'u2': np.float64(74.75657837702234), 'u3': np.float64(448.4424093488766), 'u4': np.float64(71.71035853185697), 'u5': np.float64(100.13329940871074), 'u6': np.float64(134.72189892093957)}",0,0.078505516,"{'u1': np.float64(939.0195621928), 'u2': np.float64(81.79763903471107), 'u3': np.float64(448.4424093488766), 'u4': np.float64(71.71035853185697), 'u5': np.float64(93.09223875102202), 'u6': np.float64(134.72189892093957)}",0,12.42948413,"{'u1': np.float64(939.0195621928061), 'u2': np.float64(78.67357821286706), 'u3': np.float64(448.44240934887284), 'u4': np.float64(71.71035853185435), 'u5': np.float64(96.21629957286387), 'u6': np.float64(134.72189892094195)}",4.56E-09,2.48718977,"{'u1': 1066.2235387379953, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 13}",0,0.143311501,"{'u1': np.float64(1252.0214019066973), 'u2': np.float64(78.87407994011346), 'u3': np.float64(445.57607035162425), 'u4': np.float64(67.1306347475512), 'u5': np.float64(81.27020243411266), 'u6': np.float64(134.72189892093957)}",0,0.081339121,"{'u1': np.float64(1250.2940160989106), 'u2': np.float64(84.43897409467115), 'u3': np.float64(445.596041600704), 'u4': np.float64(66.9525238223955), 'u5': np.float64(77.59083376341755), 'u6': np.float64(134.72189892093957)}",0,20.43896341,"{'u1': np.float64(1250.0070859624273), 'u2': np.float64(83.97151485988041), 'u3': np.float64(445.6895424953934), 'u4': np.float64(67.14595306419312), 'u5': np.float64(78.05829299820522), 'u6': np.float64(134.72189892093866)}",0,2.192758083,"{'u1': 1357.0337202588278, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 14}",0,0.136811256,"{'u1': np.float64(1028.3305401147943), 'u2': np.float64(76.27264728030923), 'u3': np.float64(447.857605574913), 'u4': np.float64(76.47173211542281), 'u5': np.float64(95.97227675567098), 'u6': np.float64(134.72189892093957)}",0,0.083789587,"{'u1': np.float64(1028.3305401147943), 'u2': np.float64(81.98473676073442), 'u3': np.float64(447.857605574913), 'u4': np.float64(76.47173211542281), 'u5': np.float64(90.2601872752457), 'u6': np.float64(134.72189892093957)}",0,13.05375886,"{'u1': np.float64(1028.3305401147963), 'u2': np.float64(78.99725384078295), 'u3': np.float64(447.8576055749129), 'u4': np.float64(76.47173211542179), 'u5': np.float64(93.24767019519652), 'u6': np.float64(134.72189892093945)}",8.41E-10,1.772298813,"{'u1': 1157.066132719839, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
"{'use_korean_price': True, 'use_tou_elec': False, 'import_factor': 1.5, 'month': 1, 'hp_cap': 0.8, 'els_cap': 1, 'num_households': 700, 'nu_cop': 3.28, 'c_su_G': 50, 'c_su_H': 10, 'base_h2_price_eur': 3.3333333333333335, 'e_E_cap_ratio': 1.0, 'e_H_cap_ratio': 1.0, 'e_G_cap_ratio': 1.0, 'eff_type': 1, 'segments': 6, 'peak_penalty_ratio': 0.0, 'wind_el_ratio': 1.0, 'solar_el_ratio': 1.0, 'storage_power_ratio_E': 0.25, 'storage_power_ratio_G': 0.25, 'storage_power_ratio_H': 0.25, 'storage_capacity_ratio_E': 3.0, 'storage_capacity_ratio_G': 0.0, 'storage_capacity_ratio_H': 0.0, 'initial_soc_ratio_E': 0.2, 'initial_soc_ratio_G': 0.2, 'initial_soc_ratio_H': 0.2, 'day': 15}",0,0.1946702,"{'u1': np.float64(1260.9463450342582), 'u2': np.float64(79.36582247019783), 'u3': np.float64(492.270336512017), 'u4': np.float64(168.27095502125349), 'u5': np.float64(125.13287014447684), 'u6': np.float64(134.72189892093957)}",0,0.08164382,"{'u1': np.float64(1244.2294878746338), 'u2': np.float64(84.93806106630814), 'u3': np.float64(494.8198278260004), 'u4': np.float64(172.75481262364076), 'u5': np.float64(129.2441397916199), 'u6': np.float64(134.72189892093957)}",0,24.08678055,"{'u1': np.float64(1254.6363194974113), 'u2': np.float64(82.47462576368162), 'u3': np.float64(491.761293000351), 'u4': np.float64(166.93106461803154), 'u5': np.float64(130.18302630272927), 'u6': np.float64(134.72189892093832)}",4.50E-09,2.721720934,"{'u1': 1558.1476600609328, 'u2': 152.2113074487969, 'u3': 550.3492605934133, 'u4': -0.0, 'u5': -0.0, 'u6': -0.0}"
